country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
ESP,discards,8C-9A,3B,SWA,NONE,NONE,2015,
ESP,discards,8C-9A,3A,SWA,NONE,O15M,2015,
ESP,discards,8C-9A,3A,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,SWA,NONE,NONE,2015,
ESP,discards,8C-9A,DREDGE,SVE,NONE,O15M,2015,
ESP,discards,8C-9A,DREDGE,SVE,NONE,O10T15M,2015,
ESP,discards,8C-9A,DREDGE,SVE,NONE,NONE,2015,
ESP,discards,8C-9A,3T,SVE,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SVE,NONE,NONE,2015,
ESP,discards,8C-9A,PEL_SEINE,SVA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,SUY,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SUN,NONE,O10T15M,2015,
ESP,discards,8C-9A,BEAM,SUC,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SUA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,STW,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,STO,NONE,O15M,2015,
ESP,discards,8C-9A,3B,STC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,SSX,NONE,O15M,2015,
ESP,discards,8C-9A,3A,SSH,NONE,O15M,2015,
ESP,discards,8C-9A,3C,SSC,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,SSB,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SSB,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SSB,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SSB,NONE,NONE,2015,
ESP,discards,8C-9A,GILL,SSB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SSB,NONE,O15M,2015,
FRA,discards,8C-9A,3T,SSB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SSB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SSB,NONE,NONE,2015,
FRA,discards,8C-9A,3C,SSB,NONE,O15M,2015,
ESP,discards,8C-9A,3B,SSB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,SSB,NONE,O15M,2015,
ESP,discards,8C-9A,3A,SSB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,SSB,NONE,NONE,2015,
ESP,discards,8C-9A,3A,SSA,NONE,O15M,2015,
ESP,discards,8C-9A,POTS,SRK,NONE,O10T15M,2015,
